index,image_id,review_pass,visible_face_leakage_risk,visible_text_leakage_risk,visible_screen_leakage_risk,scene_understandability,activity_understandability,visual_disruption,selector_recommendation,review_provenance,ground_truth_boundary,local_path
1,day1/members/allie/15_0479.webp,A_initial,high,none,none,high,high,low,face_detection_stress;multi_face_anonymisation,Genstructured visual inspection of generated contact sheet,"Supplementary structured visual label; not independent participant annotation",
2,day1/members/allie/20_0005.webp,A_initial,none,none,none,high,high,low,false_positive_check;no_face_routing,Genstructured visual inspection of generated contact sheet,"Supplementary structured visual label; not independent participant annotation",
3,day1/members/bjorn/09_0277.webp,A_initial,high,none,none,high,high,low,multi_face_detection;face_scale_mix,Genstructured visual inspection of generated contact sheet,"Supplementary structured visual label; not independent participant annotation",
4,day1/members/bjorn/10_0469.webp,A_initial,high,none,none,high,high,low,side_back_face_stress;multi_face_detection,Genstructured visual inspection of generated contact sheet,"Supplementary structured visual label; not independent participant annotation",
5,day1/members/bjorn/10_0697.webp,A_initial,high,none,none,high,high,low,side_back_face_stress,Genstructured visual inspection of generated contact sheet,"Supplementary structured visual label; not independent participant annotation",
6,day1/members/bjorn/13_0690.webp,A_initial,none,none,none,high,high,low,no_face_routing;false_positive_check,Genstructured visual inspection of generated contact sheet,"Supplementary structured visual label; not independent participant annotation",
7,day1/members/bjorn/14_0337.webp,A_initial,high,none,none,high,high,moderate_source_blur_or_occlusion,occlusion_stress;multi_face_detection,Genstructured visual inspection of generated contact sheet,"Supplementary structured visual label; not independent participant annotation",
8,day1/members/bjorn/15_0160.webp,A_initial,high,none,none,high,high,low,small_face_detection;viewpoint_stress,Genstructured visual inspection of generated contact sheet,"Supplementary structured visual label; not independent participant annotation",
9,day1/members/bjorn/15_0361.webp,A_initial,high,none,none,high,high,moderate_source_blur_or_occlusion,multi_face_detection;occlusion_stress,Genstructured visual inspection of generated contact sheet,"Supplementary structured visual label; not independent participant annotation",
10,day1/members/bjorn/17_0553.webp,A_initial,high,none,none,medium,high,moderate_source_blur_or_occlusion,blur_stress;adaptive_failure_avoidance,Genstructured visual inspection of generated contact sheet,"Supplementary structured visual label; not independent participant annotation",
11,day1/members/cathal/09_0230.webp,A_initial,high,none,none,high,high,low,multi_face_detection;side_face_stress,Genstructured visual inspection of generated contact sheet,"Supplementary structured visual label; not independent participant annotation",
12,day1/members/cathal/10_0677.webp,A_initial,high,none,none,high,high,low,multi_face_detection;partial_face_stress,Genstructured visual inspection of generated contact sheet,"Supplementary structured visual label; not independent participant annotation",
13,day1/members/cathal/14_0428.webp,A_initial,high,none,none,low,low,high_source_blur,blur_stress;method_failure_case,Genstructured visual inspection of generated contact sheet,"Supplementary structured visual label; not independent participant annotation",
14,day1/members/florian/08_0373.webp,A_initial,possible,none,none,high,high,low,small_face_detection;low_light_stress,Genstructured visual inspection of generated contact sheet,"Supplementary structured visual label; not independent participant annotation",
15,day1/members/florian/08_0674.webp,A_initial,high,none,none,high,high,low,large_face_detection;stylegan_candidate_but_check_pose,Genstructured visual inspection of generated contact sheet,"Supplementary structured visual label; not independent participant annotation",
16,day1/members/klaus/08_0262.webp,A_initial,none,high,none,high,high,low,text_privacy;no_face_multimodal,Genstructured visual inspection of generated contact sheet,"Supplementary structured visual label; not independent participant annotation",
17,day1/members/luca/08_0407.webp,A_initial,possible,none,none,high,high,low,partial_face_stress;ambiguous_case,Genstructured visual inspection of generated contact sheet,"Supplementary structured visual label; not independent participant annotation",
18,day1/members/luca/11_0360.webp,A_initial,high,none,none,high,high,low,multi_face_detection;side_face_stress,Genstructured visual inspection of generated contact sheet,"Supplementary structured visual label; not independent participant annotation",
