claim,RQ,strength_label,evidence_type,evidence_file,table_or_figure,limitation,safe_report_wording
"Fixed blur remains the practical balanced fallback, not a globally obsolete baseline.",RQ2/RQ4,strongly_supported,executed_artefact,outputs/03_anonymisation/01_all_methods_comparison.csv,all-method comparison,Blur is not privacy-first and does not dominate the final balanced policy.,Blur remains the practical balanced fallback under current comparable evidence.
Solid masking is the privacy-first fallback.,RQ2,strongly_supported,executed_artefact,outputs/03_anonymisation/01_all_methods_comparison.csv,stronger baseline metrics,High face-region visual utility loss.,Solid masking gives strongest identity suppression where privacy is prioritized over execution-environment face-region utility.
Layered obfuscation is a stronger privacy candidate than blur when modest utility loss is acceptable.,RQ2,strongly_supported,executed_artefact,outputs/03_anonymisation/01_all_methods_comparison.csv,stronger baseline metrics,"Still obfuscation, not identity-preserving synthesis.",Layered obfuscation improves privacy over blur while retaining more utility than solid masking.
NullFace is fully metrically comparable but quality/runtime bounded.,RQ2,supported_but_bounded,executed_artefact,outputs/03_anonymisation/01_all_methods_comparison.csv; outputs/03_anonymisation/03_nullface/03_nullface_runtime_summary.csv,Canonical RQ2 comparison and NullFace output manifest,Visual-quality risks and the 20.389381-second mean runtime prevent default promotion.,NullFace provides comparable evidence but is not promoted as default under current quality boundary.
OAPR is a global replacement for fixed blur.,RQ4,not_supported,executed_artefact,outputs/05_oapr/12_oapr_full_metric_summary.csv,OAPR actual routed-output metrics,"The seven objective modes produce different privacy, utility, and runtime trade-offs; none establishes universal dominance.","OAPR is an objective-aware policy layer with actual 500-frame routed-output evidence, not a global blur replacement."
Multimodal processing extends privacy handling beyond faces.,RQ3,supported_but_bounded,executed_artefact,outputs/04_multimodal_privacy/01_multimodal_250_evidence/11_rq3_final_summary.md; outputs/04_multimodal_privacy/01_multimodal_250_evidence/16_residual_hard_miss_campaign/02_campaign_report.md,11_rq3_final_summary.md; residual hard-miss campaign; multimodal deployment selection scores,Presence OAPR can look strong while screen IoU/text precision remain limited; residual text/low-IoU cases and utility loss remain. Presence and localisation scores must both be reported.,The multimodal stage uses a reviewed 250-frame protocol with text-cluster screen completion and a strict edge-phone residual when still empty; held-out screen presence FN is 0; combined-risk presence recall is 0.9804 and presence composite 0.9458. Localisation-oriented deployment score (~0.62) reports localisation honesty. Adaptive redaction reaches privacy 0.8680 and score 0.8320 vs fixed blur/fill 0.8319. Perfect localisation and complete PII removal are not claimed.
StyleGAN is unsuitable as a default egocentric anonymiser in this project.,RQ2,supported_but_bounded,executed_artefact,outputs/03_anonymisation/01_all_methods_comparison.csv,advanced method promotion decision,Project-specific implementation and evidence boundary.,StyleID/StyleGAN remains negative/bounded evidence due to egocentric compositing and pose/scale failure modes.
The main RQ1 face-detection ground truth is the reviewed 500-image detection status and completed face boxes.,RQ1,strongly_supported,executed_artefact,outputs/01_protocol/annotations/face_detection/02_egocentric_stress_500/manifest.csv; outputs/01_protocol/annotations/face_detection/02_egocentric_stress_500/manifest.csv,Evidence provenance table,"Detection ground truth supports face detection, not direct anonymiser quality.",RQ1 uses reviewed detection-eval status and face boxes as its primary ground-truth layer.
Multimodal residual-risk review identifies localization and redaction failures.,RQ3,supported_but_bounded,executed_artefact,outputs/04_multimodal_privacy/01_multimodal_250_evidence/10_residual_risk_analysis.csv,Held-out residual-risk analysis,The flags use OCR and region-obscuration proxies and do not establish absence of semantic leakage.,Held-out residual-risk evidence separates detector misses from text readability screen obscuration and utility failures.
OAPR routes real images through available anonymisation methods and records outputs and explanations.,RQ4,supported_but_bounded,executed_artefact,outputs/05_oapr/03_routing_log.csv; outputs/05_oapr/12_oapr_full_metric_summary.csv,OAPR 500-frame routed-output evaluation,Objective-specific routing is bounded by method eligibility and does not establish global superiority over fixed blur.,The 500-frame routed-output evaluation demonstrates auditable objective-specific method selection with explicit fallback behaviour.
