method,app_method_ids,eligibility,final_role,default_route_eligible,app_default_eligible,app_catalog_selectable,research_only,author_recipe_five_case_fail_rate,structured_author_fail_rate,reason,justifying_artefacts
no_action_copy,copy,ELIGIBLE,reviewed no-face frames only,yes,yes,yes,no,,,Avoids unnecessary image modification where manual ground truth records no face.,outputs/03_anonymisation/16_visual_quality_hardening/03_final_method_eligibility.csv; outputs/03_anonymisation/17_author_recipe_visual_audit/; outputs/03_anonymisation/14_group2_comparison/14_expanded_review_provenance_rollup.csv
blur,blur,ELIGIBLE,utility-oriented deterministic candidate,yes,yes,yes,no,,,"Predictable, fast, and free of synthetic insertion; privacy strength must meet the route floor.",outputs/03_anonymisation/16_visual_quality_hardening/03_final_method_eligibility.csv; outputs/03_anonymisation/17_author_recipe_visual_audit/; outputs/03_anonymisation/14_group2_comparison/14_expanded_review_provenance_rollup.csv
pixelate,pixelate,ELIGIBLE,utility-oriented deterministic candidate,yes,yes,yes,no,,,Predictable and fast; selected only where the privacy-weighted score supports it.,outputs/03_anonymisation/16_visual_quality_hardening/03_final_method_eligibility.csv; outputs/03_anonymisation/17_author_recipe_visual_audit/; outputs/03_anonymisation/14_group2_comparison/14_expanded_review_provenance_rollup.csv
solid_mask_black,solid_mask,ELIGIBLE,privacy-first terminal action,yes,yes,yes,no,,,Strongest deterministic concealment at the largest face-region utility cost.,outputs/03_anonymisation/16_visual_quality_hardening/03_final_method_eligibility.csv; outputs/03_anonymisation/17_author_recipe_visual_audit/; outputs/03_anonymisation/14_group2_comparison/14_expanded_review_provenance_rollup.csv
layered_blur_downscale_noise,layered,ELIGIBLE,default balanced action,yes,yes,yes,no,,,"Combines downscale, pixelation, blur, and noise without inventing a face.",outputs/03_anonymisation/16_visual_quality_hardening/03_final_method_eligibility.csv; outputs/03_anonymisation/17_author_recipe_visual_audit/; outputs/03_anonymisation/14_group2_comparison/14_expanded_review_provenance_rollup.csv
nullface,nullface,RESEARCH_ONLY_NOT_DEFAULT,research comparison,no,no,yes,yes,1.000,1.000,Author-style localized masking retained malformed geometry or weak privacy change on the hard-case audit.,outputs/03_anonymisation/16_visual_quality_hardening/03_final_method_eligibility.csv; outputs/03_anonymisation/17_author_recipe_visual_audit/; outputs/03_anonymisation/14_group2_comparison/14_expanded_review_provenance_rollup.csv
diffusion_low_step,diffusion,RESEARCH_ONLY_NOT_DEFAULT,negative/conditional evidence,no,no,yes,yes,1.000,0.419,Tighter blending improved visual quality but did not pass geometry-preservation and privacy-change checks on every hard case.,outputs/03_anonymisation/16_visual_quality_hardening/03_final_method_eligibility.csv; outputs/03_anonymisation/17_author_recipe_visual_audit/; outputs/03_anonymisation/14_group2_comparison/14_expanded_review_provenance_rollup.csv
reverse_personalization,reverse_personalization,RESEARCH_ONLY_NOT_DEFAULT,research comparison,no,no,yes,yes,1.000,1.000,"Guidance sweeps retained appearance drift, weak small/edge privacy, and multi-face failure.",outputs/03_anonymisation/16_visual_quality_hardening/03_final_method_eligibility.csv; outputs/03_anonymisation/17_author_recipe_visual_audit/; outputs/03_anonymisation/14_group2_comparison/14_expanded_review_provenance_rollup.csv
styleid_stylegan,stylegan,EXCLUDED,quality-limited evidence,no,no,no,yes,1.000,1.000,Systematic tuning did not resolve egocentric geometry and compositing failures.,outputs/03_anonymisation/16_visual_quality_hardening/03_final_method_eligibility.csv; outputs/03_anonymisation/17_author_recipe_visual_audit/; outputs/03_anonymisation/14_group2_comparison/14_expanded_review_provenance_rollup.csv
fams,fams,EXCLUDED,quality-limited evidence,no,no,no,yes,1.000,1.000,The 25-step multi-face recipe and 200-step author-sample control both failed with the obtainable SD2.1 mirror; the original model identifier was inaccessible.,outputs/03_anonymisation/16_visual_quality_hardening/03_final_method_eligibility.csv; outputs/03_anonymisation/17_author_recipe_visual_audit/; outputs/03_anonymisation/14_group2_comparison/14_expanded_review_provenance_rollup.csv
riddle,riddle,RESEARCH_COMPARABLE_NOT_DEFAULT,full comparable evidence,no,no,yes,yes,1.000,0.181,Strong privacy metrics do not outweigh 14% observed artifacts and pose/gaze failures.,outputs/03_anonymisation/16_visual_quality_hardening/03_final_method_eligibility.csv; outputs/03_anonymisation/17_author_recipe_visual_audit/; outputs/03_anonymisation/14_group2_comparison/14_expanded_review_provenance_rollup.csv
falco,falco,RESEARCH_COMPARABLE_NOT_DEFAULT,full comparable evidence,no,no,yes,yes,1.000,0.257,22% observed artifacts and high runtime prevent default routing.,outputs/03_anonymisation/16_visual_quality_hardening/03_final_method_eligibility.csv; outputs/03_anonymisation/17_author_recipe_visual_audit/; outputs/03_anonymisation/14_group2_comparison/14_expanded_review_provenance_rollup.csv
