slice_category,index,image_id,local_path,candidate_reason,visual_tags,recommended_use,visual_review_notes,review_provenance,ground_truth_boundary
large_or_frontal_faces,15,day1/members/florian/08_0674.webp,data/castle2024/raw/day1/members/florian/08_0674.webp,detector_false_negative_candidate,large_face;medium_face;standing_people;living_room,large_face_detection;stylegan_candidate_but_check_pose,large frontal-ish standing person and another,Genstructured visual inspection of generated contact sheet,"Supplementary structured visual label; not independent participant annotation"
large_or_frontal_faces,17,day1/members/luca/08_0407.webp,data/castle2024/raw/day1/members/luca/08_0407.webp,detector_false_negative_candidate,partial_large_face_or_hair;mirror_possible;low_light,partial_face_stress;ambiguous_case,"large hair/side head, possible mirror privacy",Genstructured visual inspection of generated contact sheet,"Supplementary structured visual label; not independent participant annotation"
large_or_frontal_faces,20,day1/members/luca/14_0258.webp,data/castle2024/raw/day1/members/luca/14_0258.webp,detector_false_negative_candidate,multiple_faces;medium_faces;frontal_faces;table_scene,good_detection_positive;multi_face_anonymisation,clear table faces,Genstructured visual inspection of generated contact sheet,"Supplementary structured visual label; not independent participant annotation"
large_or_frontal_faces,31,day1/members/stevan/18_0348.webp,data/castle2024/raw/day1/members/stevan/18_0348.webp,detector_false_negative_candidate,multiple_faces;medium_faces;frontal_faces;table_scene,good_detection_positive;multi_face_anonymisation,"clear faces, good positive case",Genstructured visual inspection of generated contact sheet,"Supplementary structured visual label; not independent participant annotation"
large_or_frontal_faces,33,day1/members/werner/13_0541.webp,data/castle2024/raw/day1/members/werner/13_0541.webp,detector_false_negative_candidate,severe_motion_blur;large_face_possible;kitchen,blur_stress;failure_case,very blurry moving person,Genstructured visual inspection of generated contact sheet,"Supplementary structured visual label; not independent participant annotation"
small_or_background_faces,1,day1/members/allie/15_0479.webp,data/castle2024/raw/day1/members/allie/15_0479.webp,detector_false_negative_candidate,multiple_faces;medium_faces;table_scene;some_small_faces,face_detection_stress;multi_face_anonymisation,faces visible at table; some partial/small,Genstructured visual inspection of generated contact sheet,"Supplementary structured visual label; not independent participant annotation"
small_or_background_faces,4,day1/members/bjorn/10_0469.webp,data/castle2024/raw/day1/members/bjorn/10_0469.webp,detector_false_negative_candidate,multiple_faces;back_of_head;small_background_faces;living_room,side_back_face_stress;multi_face_detection,many faces/heads at varied scale,Genstructured visual inspection of generated contact sheet,"Supplementary structured visual label; not independent participant annotation"
small_or_background_faces,5,day1/members/bjorn/10_0697.webp,data/castle2024/raw/day1/members/bjorn/10_0697.webp,detector_false_negative_candidate,multiple_faces;back_of_head;small_background_faces,side_back_face_stress,"similar to 4, front face at couch plus background",Genstructured visual inspection of generated contact sheet,"Supplementary structured visual label; not independent participant annotation"
small_or_background_faces,8,day1/members/bjorn/15_0160.webp,data/castle2024/raw/day1/members/bjorn/15_0160.webp,detector_false_negative_candidate,multiple_faces;small_faces;downward_view;partial_faces,small_face_detection;viewpoint_stress,"seated group, many small/partly visible faces",Genstructured visual inspection of generated contact sheet,"Supplementary structured visual label; not independent participant annotation"
small_or_background_faces,9,day1/members/bjorn/15_0361.webp,data/castle2024/raw/day1/members/bjorn/15_0361.webp,detector_false_negative_candidate,multiple_faces;back_of_head;small_faces;occlusion_by_flowers,multi_face_detection;occlusion_stress,foreground back head and small table faces,Genstructured visual inspection of generated contact sheet,"Supplementary structured visual label; not independent participant annotation"
motion_blur,10,day1/members/bjorn/17_0553.webp,data/castle2024/raw/day1/members/bjorn/17_0553.webp,detector_false_negative_candidate,motion_blur;multiple_faces;small_faces,blur_stress;adaptive_failure_avoidance,"severe blur, faces uncertain",Genstructured visual inspection of generated contact sheet,"Supplementary structured visual label; not independent participant annotation"
motion_blur,13,day1/members/cathal/14_0428.webp,data/castle2024/raw/day1/members/cathal/14_0428.webp,detector_false_negative_candidate,severe_motion_blur;multiple_faces;utility_low,blur_stress;method_failure_case,faces and objects very smeared,Genstructured visual inspection of generated contact sheet,"Supplementary structured visual label; not independent participant annotation"
motion_blur,30,day1/members/stevan/14_0384.webp,data/castle2024/raw/day1/members/stevan/14_0384.webp,detector_false_negative_candidate,motion_blur;small_faces;low_utility,blur_stress;method_failure_case,strong blur and tiny faces,Genstructured visual inspection of generated contact sheet,"Supplementary structured visual label; not independent participant annotation"
motion_blur,38,day2/members/allie/18_0721.webp,data/castle2024/raw/day2/members/allie/18_0721.webp,detector_false_negative_candidate,motion_blur;multiple_faces;table_scene,blur_stress;method_failure_case,blurred table scene,Genstructured visual inspection of generated contact sheet,"Supplementary structured visual label; not independent participant annotation"
motion_blur,39,day2/members/allie/19_0554.webp,data/castle2024/raw/day2/members/allie/19_0554.webp,detector_false_negative_candidate,severe_motion_blur;multiple_faces;table_scene,blur_stress;method_failure_case,strong blur with many people,Genstructured visual inspection of generated contact sheet,"Supplementary structured visual label; not independent participant annotation"
text_screen_privacy,16,day1/members/klaus/08_0262.webp,data/castle2024/raw/day1/members/klaus/08_0262.webp,detector_false_negative_candidate,visible_text;paper_document;no_clear_face,text_privacy;no_face_multimodal,document text visible on table,Genstructured visual inspection of generated contact sheet,"Supplementary structured visual label; not independent participant annotation"
text_screen_privacy,25,day1/members/onanong/10_0145.webp,data/castle2024/raw/day1/members/onanong/10_0145.webp,detector_false_negative_candidate,visible_screen;multiple_faces;small_faces,screen_privacy;multi_face_detection,TV/screen clearly visible with seated people,Genstructured visual inspection of generated contact sheet,"Supplementary structured visual label; not independent participant annotation"
text_screen_privacy,26,day1/members/onanong/10_0245.webp,data/castle2024/raw/day1/members/onanong/10_0245.webp,detector_false_negative_candidate,visible_screen;multiple_faces;small_faces,screen_privacy;multi_face_detection,screen content and people visible,Genstructured visual inspection of generated contact sheet,"Supplementary structured visual label; not independent participant annotation"
text_screen_privacy,27,day1/members/onanong/13_0124.webp,data/castle2024/raw/day1/members/onanong/13_0124.webp,detector_false_negative_candidate,visible_screen;backlit_face;large_low_light_face,screen_privacy;low_light_face_detection,monitor and backlit frontal face,Genstructured visual inspection of generated contact sheet,"Supplementary structured visual label; not independent participant annotation"
