sample_index,relative_path,method,reviewer_id,visually_plausible,obvious_artifact,artifact_type,review_scope,item_verdict,rating_source,output_resolved,provenance_class,independent,automated_assistance
1,day1/members/allie/14_0135.webp,riddle,author,1,0,none,expanded_structured_visual_review,PASS,group2_first_pass_100,,structured_author_inspection,no,no
1,day1/members/allie/14_0135.webp,riddle,partner,1,0,none,expanded_structured_visual_review,PASS,dual20_partner_human,,genuine_manual_partner_review,not_established,no
2,day1/members/allie/14_0135.webp,falco,author,1,0,none,expanded_structured_visual_review,PASS,group2_first_pass_100,,structured_author_inspection,no,no
2,day1/members/allie/14_0135.webp,falco,partner,1,0,none,expanded_structured_visual_review,PASS,dual20_partner_human,,genuine_manual_partner_review,not_established,no
3,day1/members/onanong/16_0577.webp,riddle,author,1,0,none,expanded_structured_visual_review,PASS,group2_first_pass_100,,structured_author_inspection,no,no
3,day1/members/onanong/16_0577.webp,riddle,partner,1,0,none,expanded_structured_visual_review,PASS,partner_residual_edge=0.037,outputs/03_anonymisation/12_riddle/images/day1/members/onanong/16_0577.webp,heuristic_or_automatically_generated,no,yes
4,day1/members/onanong/16_0577.webp,falco,author,0,1,expression_eye_artifact,expanded_structured_visual_review,FAIL,group2_first_pass_100,,structured_author_inspection,no,no
4,day1/members/onanong/16_0577.webp,falco,partner,0,1,expression_eye_artifact,expanded_structured_visual_review,FAIL,partner_align_author_fail_group2,outputs/03_anonymisation/13_falco/images/day1/members/onanong/16_0577.webp,inherited_or_reused_review_result,no,yes
5,day4/members/onanong/10_0182.webp,riddle,author,1,0,none,expanded_structured_visual_review,PASS,group2_first_pass_100,,structured_author_inspection,no,no
5,day4/members/onanong/10_0182.webp,riddle,partner,1,0,none,expanded_structured_visual_review,PASS,partner_residual_edge=0.057,outputs/03_anonymisation/12_riddle/images/day4/members/onanong/10_0182.webp,heuristic_or_automatically_generated,no,yes
6,day4/members/onanong/10_0182.webp,falco,author,1,0,none,expanded_structured_visual_review,PASS,group2_first_pass_100,,structured_author_inspection,no,no
6,day4/members/onanong/10_0182.webp,falco,partner,1,0,none,expanded_structured_visual_review,PASS,partner_residual_edge=0.079,outputs/03_anonymisation/13_falco/images/day4/members/onanong/10_0182.webp,heuristic_or_automatically_generated,no,yes
7,day3/members/onanong/11_0248.webp,riddle,author,0,1,compositing_discontinuity,expanded_structured_visual_review,FAIL,group2_first_pass_100,,structured_author_inspection,no,no
7,day3/members/onanong/11_0248.webp,riddle,partner,0,1,compositing_discontinuity,expanded_structured_visual_review,FAIL,partner_align_author_fail_group2,outputs/03_anonymisation/12_riddle/images/day3/members/onanong/11_0248.webp,inherited_or_reused_review_result,no,yes
8,day3/members/onanong/11_0248.webp,falco,author,0,1,compositing_discontinuity,expanded_structured_visual_review,FAIL,group2_first_pass_100,,structured_author_inspection,no,no
8,day3/members/onanong/11_0248.webp,falco,partner,0,1,compositing_discontinuity,expanded_structured_visual_review,FAIL,partner_align_author_fail_group2,outputs/03_anonymisation/13_falco/images/day3/members/onanong/11_0248.webp,inherited_or_reused_review_result,no,yes
9,day2/members/cathal/11_0012.webp,riddle,author,1,0,none,expanded_structured_visual_review,PASS,group2_first_pass_100,,structured_author_inspection,no,no
9,day2/members/cathal/11_0012.webp,riddle,partner,1,0,none,expanded_structured_visual_review,PASS,partner_residual_edge=0.063,outputs/03_anonymisation/12_riddle/images/day2/members/cathal/11_0012.webp,heuristic_or_automatically_generated,no,yes
