review_id,relative_path,source_condition,boxes_count,face_region_plausibility,obvious_artefact,scene_consistency,identity_suppression_appearance,apparent_visual_consistency,background_preservation,text_screen_unintended_distortion,severe_failure,acceptable_for_thesis_figure_demo,oapr_eligible,review_note,adjudication_rule
1,day3/members/stevan/20_0682.webp,manifest_fill,5,low_to_medium,possible_partial_or_profile_artifact,preserved_outside_face,partial_or_condition_dependent,uncertain,good,not_observed_from_sheet,possible,not_preferred,conditional_only_with_quality_gate,"Output is not universally bad, but profile/partial/blur/box conditions make visual quality uncertain.",pass2_conservative_label_used
2,day1/members/luca/12_0078.webp,manifest_fill,0,not_applicable_no_face_or_no_box,none_for_face_region,preserved,not_applicable_no_face_or_no_box,not_applicable,good,not_observed_from_sheet,no,no_face_context_only,copy_or_other_multimodal_only,No face box in comparable manifest; output appears scene-preserving/copy-through under face-method contract.,pass2_conservative_label_used
3,day3/members/tien/14_0649.webp,manifest_fill,7,low,mask_patch_or_synthetic_region,mostly_preserved_outside_face,strong_but_visibly_artificial_or_incomplete,poor_or_not_assessable,good_outside_edit,not_observed_from_sheet,yes,failure_example_only,no_except_failure_avoidance_negative_evidence,"Edited face region looks mask-like, patch-like, misplaced, or visually inconsistent for egocentric use.",pass2_conservative_label_used
4,day2/members/bjorn/16_0250.webp,manifest_fill,0,not_applicable_no_face_or_no_box,none_for_face_region,preserved,not_applicable_no_face_or_no_box,not_applicable,good,not_observed_from_sheet,no,no_face_context_only,copy_or_other_multimodal_only,No face box in comparable manifest; output appears scene-preserving/copy-through under face-method contract.,pass2_conservative_label_used
5,day1/members/stevan/10_0179.webp,manifest_fill,4,low_to_medium,possible_partial_or_profile_artifact,preserved_outside_face,partial_or_condition_dependent,uncertain,good,not_observed_from_sheet,possible,not_preferred,conditional_only_with_quality_gate,"Output is not universally bad, but profile/partial/blur/box conditions make visual quality uncertain.",pass2_conservative_label_used
6,day3/members/werner/08_0619.webp,manifest_fill,2,low,mask_patch_or_synthetic_region,mostly_preserved_outside_face,strong_but_visibly_artificial_or_incomplete,poor_or_not_assessable,good_outside_edit,not_observed_from_sheet,yes,failure_example_only,no_except_failure_avoidance_negative_evidence,"Edited face region looks mask-like, patch-like, misplaced, or visually inconsistent for egocentric use.",pass2_conservative_label_used
7,day3/members/tien/10_0512.webp,manifest_fill,0,not_applicable_no_face_or_no_box,none_for_face_region,preserved,not_applicable_no_face_or_no_box,not_applicable,good,not_observed_from_sheet,no,no_face_context_only,copy_or_other_multimodal_only,No face box in comparable manifest; output appears scene-preserving/copy-through under face-method contract.,pass2_conservative_label_used
8,day1/members/werner/14_0048.webp,manifest_fill,0,not_applicable_no_face_or_no_box,none_for_face_region,preserved,not_applicable_no_face_or_no_box,not_applicable,good,not_observed_from_sheet,no,no_face_context_only,copy_or_other_multimodal_only,No face box in comparable manifest; output appears scene-preserving/copy-through under face-method contract.,pass2_conservative_label_used
9,day1/members/klaus/17_0206.webp,manifest_fill,2,low_to_medium,possible_partial_or_profile_artifact,preserved_outside_face,partial_or_condition_dependent,uncertain,good,not_observed_from_sheet,possible,not_preferred,conditional_only_with_quality_gate,"Output is not universally bad, but profile/partial/blur/box conditions make visual quality uncertain.",pass2_conservative_label_used
10,day4/members/florian/11_0412.webp,manifest_fill,3,low,mask_patch_or_synthetic_region,mostly_preserved_outside_face,strong_but_visibly_artificial_or_incomplete,poor_or_not_assessable,good_outside_edit,not_observed_from_sheet,yes,failure_example_only,no_except_failure_avoidance_negative_evidence,"Edited face region looks mask-like, patch-like, misplaced, or visually inconsistent for egocentric use.",pass2_conservative_label_used
11,day1/members/allie/18_0412.webp,manifest_fill,3,low,mask_patch_or_synthetic_region,mostly_preserved_outside_face,strong_but_visibly_artificial_or_incomplete,poor_or_not_assessable,good_outside_edit,not_observed_from_sheet,yes,failure_example_only,no_except_failure_avoidance_negative_evidence,"Edited face region looks mask-like, patch-like, misplaced, or visually inconsistent for egocentric use.",pass2_conservative_label_used
12,day2/members/klaus/18_0601.webp,manifest_fill,2,low_to_medium,possible_partial_or_profile_artifact,preserved_outside_face,partial_or_condition_dependent,uncertain,good,not_observed_from_sheet,possible,not_preferred,conditional_only_with_quality_gate,"Output is not universally bad, but profile/partial/blur/box conditions make visual quality uncertain.",pass2_conservative_label_used
13,day4/members/allie/12_0604.webp,manifest_fill,3,low,mask_patch_or_synthetic_region,mostly_preserved_outside_face,strong_but_visibly_artificial_or_incomplete,poor_or_not_assessable,good_outside_edit,not_observed_from_sheet,yes,failure_example_only,no_except_failure_avoidance_negative_evidence,"Edited face region looks mask-like, patch-like, misplaced, or visually inconsistent for egocentric use.",pass2_conservative_label_used
14,day1/members/onanong/08_0572.webp,manifest_fill,2,low,mask_patch_or_synthetic_region,mostly_preserved_outside_face,strong_but_visibly_artificial_or_incomplete,poor_or_not_assessable,good_outside_edit,not_observed_from_sheet,yes,failure_example_only,no_except_failure_avoidance_negative_evidence,"Edited face region looks mask-like, patch-like, misplaced, or visually inconsistent for egocentric use.",pass2_conservative_label_used
15,day3/members/stevan/09_0286.webp,manifest_fill,2,low,mask_patch_or_synthetic_region,mostly_preserved_outside_face,strong_but_visibly_artificial_or_incomplete,poor_or_not_assessable,good_outside_edit,not_observed_from_sheet,yes,failure_example_only,no_except_failure_avoidance_negative_evidence,"Edited face region looks mask-like, patch-like, misplaced, or visually inconsistent for egocentric use.",pass2_conservative_label_used
16,day3/members/tien/20_0434.webp,manifest_fill,3,low,mask_patch_or_synthetic_region,mostly_preserved_outside_face,strong_but_visibly_artificial_or_incomplete,poor_or_not_assessable,good_outside_edit,not_observed_from_sheet,yes,failure_example_only,no_except_failure_avoidance_negative_evidence,"Edited face region looks mask-like, patch-like, misplaced, or visually inconsistent for egocentric use.",pass2_conservative_label_used
17,day4/members/werner/18_0362.webp,manifest_fill,0,not_applicable_no_face_or_no_box,none_for_face_region,preserved,not_applicable_no_face_or_no_box,not_applicable,good,not_observed_from_sheet,no,no_face_context_only,copy_or_other_multimodal_only,No face box in comparable manifest; output appears scene-preserving/copy-through under face-method contract.,pass2_conservative_label_used
18,day1/members/cathal/12_0342.webp,manifest_fill,4,medium,low_or_not_obvious_from_sheet,preserved,moderate_to_strong,bounded_but_acceptable_from_sheet,good,not_observed_from_sheet,no,possible_bounded_example,conditional_clear_frontal_or_large_face_only,"One of the more visually acceptable cases, but still not evidence of production-grade demographic or scene realism.",pass2_conservative_label_used
19,day3/members/florian/19_0198.webp,manifest_fill,1,low_to_medium,possible_partial_or_profile_artifact,preserved_outside_face,partial_or_condition_dependent,uncertain,good,not_observed_from_sheet,possible,not_preferred,conditional_only_with_quality_gate,"Output is not universally bad, but profile/partial/blur/box conditions make visual quality uncertain.",pass2_conservative_label_used
20,day4/members/allie/18_0334.webp,manifest_fill,1,low_to_medium,possible_partial_or_profile_artifact,preserved_outside_face,partial_or_condition_dependent,uncertain,good,not_observed_from_sheet,possible,not_preferred,conditional_only_with_quality_gate,"Output is not universally bad, but profile/partial/blur/box conditions make visual quality uncertain.",pass2_conservative_label_used
