table_or_claim,table_path,source_path,table_exists,source_exists,note
RQ1 detector comparison,outputs/02_face_detection/03_detector_two_protocol_comparison.csv,outputs/01_protocol/annotations/face_detection/02_egocentric_stress_500/manifest.csv,True,True,"Reviewer-app 500-frame detector comparison against 1,284 reviewed face boxes, with paired statistical evidence."
Scene-condition router benchmark,outputs/02_face_detection/04_scene_condition_router/06_final_model_benchmark.csv,outputs/02_face_detection/04_scene_condition_router/01_condition_dataset.csv,True,True,"Reviewed 1,000-image condition benchmark with evidence-supported fallback boundaries."
Scene-condition router per-label evidence,outputs/02_face_detection/04_scene_condition_router/07_final_per_label_metrics.csv,outputs/02_face_detection/04_scene_condition_router/08_final_predictions.csv,True,True,Per-label route eligibility and participant-held prediction evidence.
RQ2 all-method comparison,outputs/03_anonymisation/01_all_methods_comparison.csv,outputs/03_anonymisation/01_all_methods_comparison.csv,True,True,"Canonical privacy, utility, runtime, and method-role comparison."
NullFace comparable execution,outputs/03_anonymisation/03_nullface/02_nullface_full_500_summary.json,outputs/03_anonymisation/03_nullface/01_nullface_full_500_manifest.csv,True,True,Full 500-frame output accounting; quality and runtime remain bounded.
Diffusion comparable execution,outputs/03_anonymisation/04_diffusion/07_diffusion_full_500_metric_summary.csv,outputs/03_anonymisation/04_diffusion/07_diffusion_full_500_metric_summary.csv,True,True,Full 500-frame diffusion metrics and execution evidence.
Reverse Personalization retry closure,outputs/03_anonymisation/05_reverse_personalization/09_rp_final_metric_summary.csv,outputs/03_anonymisation/05_reverse_personalization/09_rp_final_metric_summary.csv,True,True,Targeted retry improved coverage to 482/500; runtime and 18 failures remain.
StyleID and FAMS tuning decision,outputs/03_anonymisation/01_all_methods_comparison.csv,outputs/03_anonymisation/06_styleid_fams/02_pilot_manifest.csv,True,True,Systematic tuning and 25-frame pilot support the quality-limited decision.
RQ3 multimodal processing,outputs/04_multimodal_privacy/01_multimodal_250_evidence/11_rq3_final_summary.md,outputs/01_protocol/annotations/multimodal_250/reviewed_multimodal_250_with_boxes.csv,True,True,"Reviewer-app verified 250-frame protocol with text/screen boxes, held-out localization, and predicted-box redaction evidence."
Residual leakage review,outputs/04_multimodal_privacy/01_multimodal_250_evidence/10_residual_risk_analysis.csv,outputs/04_multimodal_privacy/01_multimodal_250_evidence/09_adaptive_selected_metrics.csv,True,True,"Held-out detector, redaction, utility, and residual-risk flags from predicted boxes."
RQ4 OAPR routed-output evidence,outputs/05_oapr/12_oapr_full_metric_summary.csv,outputs/05_oapr/12_oapr_full_metric_summary.csv,True,True,Seven objective modes with actual routed-output metrics; no global blur dominance.
OAPR fixed-method comparison,outputs/05_oapr/13_oapr_vs_fixed_methods_metric_comparison.csv,outputs/05_oapr/13_oapr_vs_fixed_methods_metric_comparison.csv,True,True,Objective-specific comparison against all seven comparable fixed methods.
Hardened OAPR policy comparison,outputs/03_anonymisation/11_policy_hardening/06_final_policy_summary.csv,outputs/03_anonymisation/11_policy_hardening/07_paired_policy_statistics.csv,True,True,"Three-attacker, face-region-utility and grouped held-out policy comparison."
Historical RiDDLE-heavy materialised policy ablation,outputs/03_anonymisation/15_materialised_adaptive_policy/13_final_policy_metric_summary.csv,outputs/03_anonymisation/15_materialised_adaptive_policy/14_final_policy_paired_comparison.csv,True,True,"Measured 500-image policy ablation with artifact gating, deterministic fallback, direct metrics, and paired bootstrap comparisons; superseded as the runtime default by the uniform visual gate."
Historical RiDDLE artifact gate,outputs/03_anonymisation/15_materialised_adaptive_policy/15_final_quality_gate_effect.csv,outputs/03_anonymisation/15_materialised_adaptive_policy/02_artifact_gate_review_predictions.csv,True,True,Participant-grouped artifact-gate validation retained to quantify why the generative policy was not deployment-safe.
Final uniform visual-quality evidence,outputs/03_anonymisation/16_visual_quality_hardening/01_uniform_visual_quality_summary.csv,outputs/03_anonymisation/16_visual_quality_hardening/02_targeted_tuning_results.csv,True,True,Uniform advanced-method review and targeted RiDDLE/FAMS tuning establish final method eligibility.
Advanced-method author-recipe visual audit,outputs/03_anonymisation/17_author_recipe_visual_audit/01_author_recipe_configuration.csv,outputs/03_anonymisation/17_author_recipe_visual_audit/02_five_case_visual_gate.csv,True,True,Author or author-aligned recipes on five hard conditions establish the final generative-method routing boundary.
Final visual-safe adaptive policy,outputs/03_anonymisation/16_visual_quality_hardening/06_final_visual_safe_policy_summary.csv,outputs/03_anonymisation/16_visual_quality_hardening/04_final_visual_safe_policy.csv,True,True,"Current 500-image runtime policy: deterministic visual-safe routes, zero generative routes, and zero failures."
Advanced anonymisation feasibility,outputs/03_anonymisation/11_policy_hardening/09_advanced_method_feasibility.csv,outputs/03_anonymisation/11_policy_hardening/10_final_policy_decision.md,True,True,CUDA feasibility and protocol boundary for FALCO and RiDDLE.
Cross-view privacy proxy,outputs/05_oapr/cross_view_analysis/04_cross_view_face_positive_proxy_summary_table.csv,outputs/05_oapr/cross_view_analysis/03_cross_view_face_positive_proxy_pair_results.csv,True,True,Face-positive paired-view proxy; not participant identity ground truth.
Distribution sanity baseline,outputs/06_statistics_and_review/03_fid_webp_baseline.json,outputs/01_protocol/supporting_protocols/03_fid_source_50000.csv,True,True,"WebP self-FID sanity baseline, not an anonymiser comparison."
Failure-mode taxonomy,outputs/06_statistics_and_review/02_failure_mode_taxonomy.csv,outputs/06_statistics_and_review/02_failure_mode_taxonomy.csv,True,True,Current failure categories after advanced-method and OAPR closure.
Confidence-interval evidence,outputs/06_statistics_and_review/01_bootstrap_confidence_intervals.csv,outputs/06_statistics_and_review/01_bootstrap_confidence_intervals.csv,True,True,Computed and explicitly bounded confidence-interval rows.
