relative_path,face_id,selected_method_rule,selected_method_learned,alternative_method_scores,feature_values,reason_for_selection,evidence_availability,selected_method_had_valid_output,failure_fallback,oracle_best_method,oracle_best_score,best_available_alternative
day4/fixed/reading/10_0359.webp,0,blur,pixelate,"{""blur"": 0.9937586306726103, ""diffusion"": 0.9934225789173886, ""pixelate"": 0.9943308818741357}","{""blur_score"": 0.0334671758104814, ""face_box_count"": 1, ""face_size_px"": 142.5482374496437, ""occlusion_ratio"": 0.6156496062992126, ""webp_artifact_score"": 0.4510561605660914}",small_or_medium_face,full_for_blur_pixelate_diffusion_proxy,yes,,pixelate,0.9943308818741357,pixelate
day1/members/bjorn/11_0133.webp,0,blur,pixelate,"{""blur"": 0.9944901683991297, ""diffusion"": 0.9938227289367422, ""pixelate"": 0.9949011521620207}","{""blur_score"": 0.064556392505375, ""face_box_count"": 2, ""face_size_px"": 85.17041739947034, ""occlusion_ratio"": 0.9192169837331128, ""webp_artifact_score"": 0.2896807283095244}",small_or_medium_face,full_for_blur_pixelate_diffusion_proxy,yes,,pixelate,0.9949011521620207,pixelate
day1/members/bjorn/11_0003.webp,0,blur,pixelate,"{""blur"": 0.9934136164057875, ""diffusion"": 0.9934894656318224, ""pixelate"": 0.993783710438802}","{""blur_score"": 0.0352151290573058, ""face_box_count"": 3, ""face_size_px"": 76.4198926981712, ""occlusion_ratio"": 0.0029109589041096, ""webp_artifact_score"": 0.4270910024587091}",small_or_medium_face,full_for_blur_pixelate_diffusion_proxy,yes,,pixelate,0.993783710438802,pixelate
day4/members/cathal/09_0187.webp,0,blur,blur,"{""blur"": 0.9907367916822443, ""diffusion"": 0.9850026741018804, ""pixelate"": 0.6623388038263881}","{""blur_score"": 0.0520796497327906, ""face_box_count"": 3, ""face_size_px"": 306.3478415135318, ""occlusion_ratio"": 0.1688989760146618, ""webp_artifact_score"": 0.5133116348053202}",small_or_medium_face,full_for_blur_pixelate_diffusion_proxy,yes,,blur,0.9907367916822443,blur
day4/members/bao/09_0309.webp,0,blur,pixelate,"{""blur"": 0.99347601720332, ""diffusion"": 0.9924145395529104, ""pixelate"": 0.9942435906704249}","{""blur_score"": 0.0273593404465522, ""face_box_count"": 2, ""face_size_px"": 195.57607215607945, ""occlusion_ratio"": 0.034954248366013, ""webp_artifact_score"": 0.4782945382815984}",small_or_medium_face,full_for_blur_pixelate_diffusion_proxy,yes,,pixelate,0.9942435906704249,pixelate
day2/members/cathal/19_0601.webp,0,blur,pixelate,"{""blur"": 0.9870880066771538, ""diffusion"": 0.986205562766516, ""pixelate"": 0.9917334328364412}","{""blur_score"": 0.0233024589761937, ""face_box_count"": 4, ""face_size_px"": 262.70135134787563, ""occlusion_ratio"": 0.196023879904944, ""webp_artifact_score"": 0.2576810712857442}",small_or_medium_face,full_for_blur_pixelate_diffusion_proxy,yes,,pixelate,0.9917334328364412,pixelate
day1/fixed/living1/20_0550.webp,0,blur,pixelate,"{""blur"": 0.9952805522832406, ""diffusion"": 0.9952020675588916, ""pixelate"": 0.9953545909853602}","{""blur_score"": 0.0159854544083366, ""face_box_count"": 2, ""face_size_px"": 60.398675482166, ""occlusion_ratio"": 0.0688048245614034, ""webp_artifact_score"": 0.3994164937266031}",small_or_medium_face,full_for_blur_pixelate_diffusion_proxy,yes,,pixelate,0.9953545909853602,pixelate
day1/members/klaus/13_0273.webp,0,blur,pixelate,"{""blur"": 0.9910476080302425, ""diffusion"": 0.9907016334775659, ""pixelate"": 0.9927851936603137}","{""blur_score"": 0.019116224699562, ""face_box_count"": 3, ""face_size_px"": 207.41263220932325, ""occlusion_ratio"": 0.1141329614132961, ""webp_artifact_score"": 0.4854383891167217}",small_or_medium_face,full_for_blur_pixelate_diffusion_proxy,yes,,pixelate,0.9927851936603137,pixelate
day4/members/onanong/13_0134.webp,0,blur,blur,"{""blur"": 0.9808299122975587, ""diffusion"": 0.973471229076559, ""pixelate"": 0.8783821679943794}","{""blur_score"": 0.0281695644679043, ""face_box_count"": 9, ""face_size_px"": 399.6498467408689, ""occlusion_ratio"": 0.2467255196594039, ""webp_artifact_score"": 0.4237239993834096}",small_or_medium_face,full_for_blur_pixelate_diffusion_proxy,yes,,blur,0.9808299122975587,blur
day1/members/stevan/17_0417.webp,0,blur,pixelate,"{""blur"": 0.9904741246185028, ""diffusion"": 0.991029901951991, ""pixelate"": 0.9931015585396716}","{""blur_score"": 0.0352443248919447, ""face_box_count"": 2, ""face_size_px"": 205.42638584174136, ""occlusion_ratio"": 0.1454976303317535, ""webp_artifact_score"": 0.4342848149273761}",small_or_medium_face,full_for_blur_pixelate_diffusion_proxy,yes,,pixelate,0.9931015585396716,pixelate
