method,blocked_as_default,visual_eligibility,exploratory_balanced_score,deployment_score,uniform_visually_plausible_rate,uniform_obvious_artifact_rate,author_recipe_five_case_pass_rate,failure_modes_summary,justifying_artefacts,gate_effect
deepprivacy2,True,UNKNOWN,,,,,0.0,INACCESSIBLE_OR_PERMISSION_GATED; not executed; blocked as default by accessibility,outputs/10_final_enhancement_evaluation/01_visual_safety_gate_effect/; outputs/03_anonymisation/16_visual_quality_hardening/03_final_method_eligibility.csv; outputs/03_anonymisation/17_author_recipe_visual_audit/; outputs/03_anonymisation/14_group2_comparison/08_group2_visual_review.csv,BLOCKED_AS_DEFAULT
diffusion_low_step,True,RESEARCH_ONLY_NOT_DEFAULT,0.9127037184993366,0.7829428221411716,0.05,0.7,0.0,uniform visual quality severe artifacts (obvious_artifact_rate=0.70); author_recipe_five_case_pass=0/5; pose/compositing failures on egocentric hard cases,outputs/10_final_enhancement_evaluation/01_visual_safety_gate_effect/; outputs/03_anonymisation/16_visual_quality_hardening/03_final_method_eligibility.csv; outputs/03_anonymisation/17_author_recipe_visual_audit/; outputs/03_anonymisation/14_group2_comparison/08_group2_visual_review.csv,BLOCKED_AS_DEFAULT
falco,True,RESEARCH_COMPARABLE_NOT_DEFAULT,0.8106769135141331,0.76609510389819,0.78,0.22,0.0,"group2: plausible=78/100 artifact=22/100; types={'expression_eye_artifact': 14, 'compositing_discontinuity': 2, 'geometry_artifact': 2, 'false_positive_face_insertion': 2, 'multi_face_blending_artifact': 1, 'expression_artifact': 1}; author_recipe_five_case_pass=0/5; expression/geometry multi-face failures",outputs/10_final_enhancement_evaluation/01_visual_safety_gate_effect/; outputs/03_anonymisation/16_visual_quality_hardening/03_final_method_eligibility.csv; outputs/03_anonymisation/17_author_recipe_visual_audit/; outputs/03_anonymisation/14_group2_comparison/08_group2_visual_review.csv,BLOCKED_AS_DEFAULT
fams,True,EXCLUDED,,,,,0.0,author_recipe_five_case_pass=0/5; quality-limited corruption on unaligned multi-face; RESEARCH_ONLY,outputs/10_final_enhancement_evaluation/01_visual_safety_gate_effect/; outputs/03_anonymisation/16_visual_quality_hardening/03_final_method_eligibility.csv; outputs/03_anonymisation/17_author_recipe_visual_audit/; outputs/03_anonymisation/14_group2_comparison/08_group2_visual_review.csv,BLOCKED_AS_DEFAULT
g2face_reface_adapter,True,UNKNOWN,,,,,0.0,DEPENDENCY_LIMITED (nvdiffrast/CUDA); not comparable default; blocked as default by accessibility,outputs/10_final_enhancement_evaluation/01_visual_safety_gate_effect/; outputs/03_anonymisation/16_visual_quality_hardening/03_final_method_eligibility.csv; outputs/03_anonymisation/17_author_recipe_visual_audit/; outputs/03_anonymisation/14_group2_comparison/08_group2_visual_review.csv,BLOCKED_AS_DEFAULT
nullface,True,RESEARCH_ONLY_NOT_DEFAULT,0.8179418872861857,0.7218289124305768,,,0.0,author_recipe_five_case_pass=0/5; runtime/quality bounded; visual gate RESEARCH_ONLY_NOT_DEFAULT,outputs/10_final_enhancement_evaluation/01_visual_safety_gate_effect/; outputs/03_anonymisation/16_visual_quality_hardening/03_final_method_eligibility.csv; outputs/03_anonymisation/17_author_recipe_visual_audit/; outputs/03_anonymisation/14_group2_comparison/08_group2_visual_review.csv,BLOCKED_AS_DEFAULT
refacex,True,UNKNOWN,,,,,0.0,INACCESSIBLE_OR_PERMISSION_GATED; not executed; blocked as default by accessibility,outputs/10_final_enhancement_evaluation/01_visual_safety_gate_effect/; outputs/03_anonymisation/16_visual_quality_hardening/03_final_method_eligibility.csv; outputs/03_anonymisation/17_author_recipe_visual_audit/; outputs/03_anonymisation/14_group2_comparison/08_group2_visual_review.csv,BLOCKED_AS_DEFAULT
reverse_personalization,True,RESEARCH_ONLY_NOT_DEFAULT,0.7413826479806911,0.65939989335003,,,0.0,author_recipe_five_case_pass=0/5; failure_rate residual 18/500; runtime-limited; visual RESEARCH_ONLY_NOT_DEFAULT,outputs/10_final_enhancement_evaluation/01_visual_safety_gate_effect/; outputs/03_anonymisation/16_visual_quality_hardening/03_final_method_eligibility.csv; outputs/03_anonymisation/17_author_recipe_visual_audit/; outputs/03_anonymisation/14_group2_comparison/08_group2_visual_review.csv,BLOCKED_AS_DEFAULT
riddle,True,RESEARCH_COMPARABLE_NOT_DEFAULT,0.9030561813295034,0.813025068553892,0.86,0.14,0.0,"group2: plausible=86/100 artifact=14/100; types={'implausible_eye_rendering': 8, 'compositing_discontinuity': 2, 'false_positive_face_insertion': 2, 'geometry_blending_artifact': 1, 'local_geometry_artifact': 1}; author_recipe_five_case_pass=0/5; pose/gaze/geometry domain-transfer failures",outputs/10_final_enhancement_evaluation/01_visual_safety_gate_effect/; outputs/03_anonymisation/16_visual_quality_hardening/03_final_method_eligibility.csv; outputs/03_anonymisation/17_author_recipe_visual_audit/; outputs/03_anonymisation/14_group2_comparison/08_group2_visual_review.csv,BLOCKED_AS_DEFAULT
styleid_stylegan,True,EXCLUDED,,,,,0.0,author_recipe / quality-limited GAN compositing on egocentric faces; RESEARCH_ONLY / quality-limited; five-case fail,outputs/10_final_enhancement_evaluation/01_visual_safety_gate_effect/; outputs/03_anonymisation/16_visual_quality_hardening/03_final_method_eligibility.csv; outputs/03_anonymisation/17_author_recipe_visual_audit/; outputs/03_anonymisation/14_group2_comparison/08_group2_visual_review.csv,BLOCKED_AS_DEFAULT
