Evidence,Reviewer_or_Source,Tool,Review_Type,Independent,Automated_Assistance,Final_Claim_Allowed
Face annotation correction on locked protocols,Project author + project partner,Custom annotation/review applications,manual_annotation_correction,joint_or_sequential_not_blind,none,Author and partner manually inspected and corrected face boxes and labels; not a blinded participant study
Group2 first-pass 100-crop RiDDLE/FALCO visual review (rating_source=group2_first_pass_100),Project author,Structured visual review worksheets + review app,structured_visual_review,no (single author first pass),none,Author operational visual quality inspection for method eligibility
20-crop author/partner confirmation sample (outputs/.../10_manual_author_partner_20crop.csv; dual20_partner_human),Project author + project partner,Shared visual review worksheet,author_partner_review,no (study independence not established),none,Manual confirmation sample; do not use for independent-rater reliability claims
Expanded partner residual-edge labels (rating_source starts with partner_residual_edge),Heuristic residual-edge proxy,Automated residual-edge scoring script,heuristic_or_automatically_generated,no,yes,Not an independent partner rating; exclude from agreement and reliability claims
Partner align author fail (rating_source=partner_align_author_fail_group2),Inherited from author fail,Expansion script alignment rule,inherited_or_reused_review_result,no,yes,Not an independent partner rating
Five-case author recipe audit (author_recipe_five_case),Project author,Author recipe visual audit,structured_author_inspection,no (author only),none,Author stress-test inspection; not sole eligibility gate
Partner five-case rows (partner_five_case_independent),Project partner (recorded) with expansion pipeline,Five-case visual gate worksheet,author_partner_review,not established as blinded independent protocol,partial_pipeline_support,Treat as author-partner structured inspection; do not claim dual-blind human study
Diffusion quality passes (diffusion_quality_pass1/pass2/adjudicated CSVs),Project author (+ adjudicated records where present),Quality review CSVs under 04_diffusion/quality_review,structured_visual_review,no for pass1/pass2 as independent; adjudication is joint,none,Author structured quality review supporting research-only status
Uniform visual quality hardening summary,Project author,Uniform method review tables,structured_visual_review,no,none,Supports blocking generative methods as defaults
Visual eligibility rubric (01_visual_eligibility_rubric.md),Project author,Written rubric,structured_visual_review,n/a,none,Defines inspection criteria; not a blinded study protocol
Canonical method eligibility CSV/JSON,Derived from visual review + metrics + five-case,build_canonical_method_eligibility.py,review_app_validation + structured synthesis,n/a,yes (table assembly only),RESEARCH_ONLY_NOT_DEFAULT for generative; defaults remain deterministic visual-safe
App demonstrator optional detection review step,App user (author during validation),Gradio App review UI,review_app_validation,n/a,none,Demonstrator feature only; not scientific protocol evidence
