index,image_id,local_path,candidate_reason,visual_tags,recommended_use,visual_review_notes,review_provenance,ground_truth_boundary
1,day1/members/allie/15_0479.webp,data/castle2024/raw/day1/members/allie/15_0479.webp,detector_false_negative_candidate,multiple_faces;medium_faces;table_scene;some_small_faces,face_detection_stress;multi_face_anonymisation,faces visible at table; some partial/small,Genstructured visual inspection of generated contact sheet,"Supplementary structured visual label; not independent participant annotation"
2,day1/members/allie/20_0005.webp,data/castle2024/raw/day1/members/allie/20_0005.webp,detector_false_negative_candidate,possible_no_primary_face;kitchen_view;partial_body,false_positive_check;no_face_routing,no clear face except partial edge/person,Genstructured visual inspection of generated contact sheet,"Supplementary structured visual label; not independent participant annotation"
3,day1/members/bjorn/09_0277.webp,data/castle2024/raw/day1/members/bjorn/09_0277.webp,detector_false_negative_candidate,multiple_faces;medium_faces;frontal_and_side_faces;table_scene,multi_face_detection;face_scale_mix,clear multi-person table scene,Genstructured visual inspection of generated contact sheet,"Supplementary structured visual label; not independent participant annotation"
4,day1/members/bjorn/10_0469.webp,data/castle2024/raw/day1/members/bjorn/10_0469.webp,detector_false_negative_candidate,multiple_faces;back_of_head;small_background_faces;living_room,side_back_face_stress;multi_face_detection,many faces/heads at varied scale,Genstructured visual inspection of generated contact sheet,"Supplementary structured visual label; not independent participant annotation"
5,day1/members/bjorn/10_0697.webp,data/castle2024/raw/day1/members/bjorn/10_0697.webp,detector_false_negative_candidate,multiple_faces;back_of_head;small_background_faces,side_back_face_stress,"similar to 4, front face at couch plus background",Genstructured visual inspection of generated contact sheet,"Supplementary structured visual label; not independent participant annotation"
6,day1/members/bjorn/13_0690.webp,data/castle2024/raw/day1/members/bjorn/13_0690.webp,detector_false_negative_candidate,no_clear_face;living_room;legs_only,no_face_routing;false_positive_check,no visible face requiring anonymisation,Genstructured visual inspection of generated contact sheet,"Supplementary structured visual label; not independent participant annotation"
7,day1/members/bjorn/14_0337.webp,data/castle2024/raw/day1/members/bjorn/14_0337.webp,detector_false_negative_candidate,multiple_faces;medium_faces;occlusion_by_flowers;table_scene,occlusion_stress;multi_face_detection,flowers occlude central scene,Genstructured visual inspection of generated contact sheet,"Supplementary structured visual label; not independent participant annotation"
8,day1/members/bjorn/15_0160.webp,data/castle2024/raw/day1/members/bjorn/15_0160.webp,detector_false_negative_candidate,multiple_faces;small_faces;downward_view;partial_faces,small_face_detection;viewpoint_stress,"seated group, many small/partly visible faces",Genstructured visual inspection of generated contact sheet,"Supplementary structured visual label; not independent participant annotation"
9,day1/members/bjorn/15_0361.webp,data/castle2024/raw/day1/members/bjorn/15_0361.webp,detector_false_negative_candidate,multiple_faces;back_of_head;small_faces;occlusion_by_flowers,multi_face_detection;occlusion_stress,foreground back head and small table faces,Genstructured visual inspection of generated contact sheet,"Supplementary structured visual label; not independent participant annotation"
10,day1/members/bjorn/17_0553.webp,data/castle2024/raw/day1/members/bjorn/17_0553.webp,detector_false_negative_candidate,motion_blur;multiple_faces;small_faces,blur_stress;adaptive_failure_avoidance,"severe blur, faces uncertain",Genstructured visual inspection of generated contact sheet,"Supplementary structured visual label; not independent participant annotation"
