category,category_source,support_count,scored_frame_count,policy_confidence,privacy_first_method,balanced_default_method,utility_method,runtime_method,final_policy_decision,decision_reason
downward_egocentric_view,manual_condition_review,89,1,low_support,blur,layered_blur_downscale_noise,blur,layered_blur_downscale_noise,layered_blur_downscale_noise,Category has fewer than 20 face-positive scored frames; use the stable stronger-privacy practical fallback rather than overclaiming a low-support category winner.
edge_or_partial_face,manual_condition_review,193,193,high,layered_blur_downscale_noise,layered_blur_downscale_noise,layered_blur_downscale_noise,layered_blur_downscale_noise,layered_blur_downscale_noise,Highest balanced OAPR anonymisation score for this category.
high_clutter,manual_condition_review,190,146,high,layered_blur_downscale_noise,layered_blur_downscale_noise,layered_blur_downscale_noise,layered_blur_downscale_noise,layered_blur_downscale_noise,Highest balanced OAPR anonymisation score for this category.
large_face,manual_condition_review,28,27,high,solid_mask_black,layered_blur_downscale_noise,layered_blur_downscale_noise,layered_blur_downscale_noise,layered_blur_downscale_noise,Highest balanced OAPR anonymisation score for this category.
low_light_or_dim,manual_condition_review,100,62,high,layered_blur_downscale_noise,layered_blur_downscale_noise,layered_blur_downscale_noise,layered_blur_downscale_noise,layered_blur_downscale_noise,Highest balanced OAPR anonymisation score for this category.
medium_face,manual_condition_review,280,234,high,layered_blur_downscale_noise,layered_blur_downscale_noise,layered_blur_downscale_noise,layered_blur_downscale_noise,layered_blur_downscale_noise,Highest balanced OAPR anonymisation score for this category.
mixed_scale_face,manual_condition_review,45,45,high,layered_blur_downscale_noise,layered_blur_downscale_noise,layered_blur_downscale_noise,layered_blur_downscale_noise,layered_blur_downscale_noise,Highest balanced OAPR anonymisation score for this category.
motion_blur_or_low_sharpness,manual_condition_review,94,49,high,solid_mask_black,layered_blur_downscale_noise,layered_blur_downscale_noise,layered_blur_downscale_noise,layered_blur_downscale_noise,Highest balanced OAPR anonymisation score for this category.
multi_face,manual_condition_review,276,276,high,layered_blur_downscale_noise,layered_blur_downscale_noise,layered_blur_downscale_noise,layered_blur_downscale_noise,layered_blur_downscale_noise,Highest balanced OAPR anonymisation score for this category.
no_face,manual_condition_review,146,146,high,no_face_copy_or_multimodal_only,no_face_copy_or_multimodal_only,no_face_copy_or_multimodal_only,no_face_copy_or_multimodal_only,skip_face_anonymisation_then_apply_multimodal_policy_if_needed,"Reviewed protocol has no face boxes, so face anonymisation is unnecessary; preserve utility and route only text/screen risk if present."
profile_or_occluded_face,manual_condition_review,206,206,high,layered_blur_downscale_noise,layered_blur_downscale_noise,layered_blur_downscale_noise,layered_blur_downscale_noise,layered_blur_downscale_noise,Highest balanced OAPR anonymisation score for this category.
single_face,manual_condition_review,78,77,high,solid_mask_black,solid_mask_black,layered_blur_downscale_noise,solid_mask_black,solid_mask_black,Highest balanced OAPR anonymisation score for this category.
small_face,manual_condition_review,132,132,high,layered_blur_downscale_noise,layered_blur_downscale_noise,layered_blur_downscale_noise,layered_blur_downscale_noise,layered_blur_downscale_noise,Highest balanced OAPR anonymisation score for this category.
very_small_or_distant_face,manual_condition_review,12,12,low_support,solid_mask_black,layered_blur_downscale_noise,pixelate,solid_mask_black,layered_blur_downscale_noise,Category has fewer than 20 face-positive scored frames; use the stable stronger-privacy practical fallback rather than overclaiming a low-support category winner.
