ablation_id,component_removed,stage,selected_method,exploratory_score,deployment_score,mean_max_reid,visual_safe_default,note
A0_full_gated_framework,none,face_anonymisation_policy,solid_mask_black,0.9324310352859834,0.8142197061568615,0.2927333333333333,True,Baseline: visual eligibility + privacy floors + failure gates yield visual-safe deterministic defaults.
A1_exploratory_score_only,all_gates_and_deployment_score,face_anonymisation_policy,layered_blur_downscale_noise,0.9520045539444724,0.8047286744071428,0.3275095238095238,True,Single weighted exploratory composite without deployment gates; can rank research methods high and selects layered_blur_downscale_noise here.
A2_no_visual_safety_filter,visual_eligibility_gate,face_anonymisation_policy,solid_mask_black,0.9324310352859834,0.8142197061568615,0.2927333333333333,True,"Removing the visual eligibility gate expanded exposure to research-only/generative methods in the eligible set, although under this evaluated configuration the aggregate selected winner remained solid_mask_black (visual-safe)."
A3_no_privacy_floor,privacy_reid_floor,face_anonymisation_policy,solid_mask_black,0.9324310352859834,0.8142197061568615,0.2927333333333333,True,Removing the privacy floor expands eligibility toward weaker privacy methods; under this configuration the aggregate winner remained solid_mask_black.
A4_pre_hardening_rfdetr_reranker,detector_error_hardening,face_detection,cv_box_reranker_with_rfdetr_predicted_conditions,0.9129,0.9129,,True,Pre-hardening privacy-weighted detector policy (measured 0.9129)
A5_with_error_hardened_detector,none,face_detection,error_hardened_all_raw_rf_iou0_45,0.9172,0.9172,,True,Post-hardening balanced primary detector (measured 0.9172)
A5b_error_hardened_table_top,none,face_detection,error_hardened_all_raw_rf_iou0_45,0.9171650054828416,0.9171650054828416,,True,Top row from hardening scores table; see also 02_detector_policy_decision.md
A6_mm_pre_screen_completion,text_cluster_and_edge_phone_screen_completion,multimodal_redaction,adaptive_pre_completion,0.8192,0.8192,,True,"Historical held-out adaptive before screen completion (privacy~0.820, screen FN 5)"
A7_mm_full_residual_stack,none,multimodal_redaction,adaptive_text_cluster_plus_strict_edge_phone,0.832,0.832,,True,"Current held-out adaptive after residual stack (privacy~0.868, screen FN 0)"
A8_mm_fixed_blur_fill_only,adaptive_risk_routing,multimodal_redaction,fixed_text_blur_screen_fill,0.8319,0.8319,,True,Strongest fixed comparator; adaptive is competitive not dominant
A9_fixed_layered_only,oapr_objective_routing,end_to_end_face,layered_blur_downscale_noise,0.9520045539444724,0.8047286744071428,0.3275095238095238,True,Fixed layered only; loses objective-specific solid_mask routing of scientific OAPR.
A10_with_condition_router,none,scene_condition_router,post_detection_oracle_reviewed_boxes,0.99531,0.9953671,,True,Best condition-router deployment score from decision framework table
A11_no_condition_router,scene_condition_router,scene_condition_router,no_route_global_detector_policy,,0.0,,True,"Without routing, condition-specific detector/method selection is disabled (score not directly comparable)"
