method,case,frame_status,face_coverage,blend_quality,pose_expression_preservation,privacy_change,severe_artifact,default_route_pass,reason
riddle,large_frontal,ok,complete,good,fail,observable,no,no,"Expression and gaze changed despite improved alignment"
riddle,profile_occluded,ok,complete,good,fail,observable,no,no,"Profile geometry and pose were replaced rather than preserved"
riddle,small_distant,ok,complete,moderate,fail,observable,yes,no,"Generated face geometry was implausible at the available scale"
riddle,edge_partial,ok,complete,good,fail,observable,no,no,"The replacement altered expression and facial geometry"
riddle,multi_face,ok,incomplete,poor,fail,observable,yes,no,"Only one of two reviewed faces was aligned and the inserted face was implausible"
fams,large_frontal,ok,complete,fail,not_assessable,observable,yes,no,"Severe coloured rectangular corruption"
fams,profile_occluded,ok,complete,fail,not_assessable,observable,yes,no,"Severe coloured rectangular corruption"
fams,small_distant,ok,complete,fail,not_assessable,observable,yes,no,"Severe coloured corruption on the target region"
fams,edge_partial,ok,complete,fail,not_assessable,observable,yes,no,"Severe coloured rectangular corruption"
fams,multi_face,ok,complete,fail,not_assessable,observable,yes,no,"Severe coloured corruption despite both reviewed boxes being processed"
nullface,large_frontal,ok,complete,poor,fail,observable,yes,no,"Malformed eyes and mouth remained after author-style localized masking"
nullface,profile_occluded,ok,complete,moderate,pass,weak,no,no,"Output remained close to the source and did not demonstrate adequate privacy change"
nullface,small_distant,ok,complete,moderate,pass,weak,no,no,"Output remained close to the source at distant-face scale"
nullface,edge_partial,ok,complete,poor,fail,observable,yes,no,"facial geometry was visibly distorted"
nullface,multi_face,incomplete,incomplete,poor,fail,observable,yes,no,"One reviewed face was missed and the processed region was malformed"
styleid,large_frontal,ok,complete,poor,fail,observable,yes,no,"Synthetic face appeared pasted and did not preserve expression"
styleid,profile_occluded,ok,complete,poor,fail,observable,yes,no,"Frontal synthetic face replaced a profile/occluded face"
styleid,small_distant,ok,complete,poor,fail,observable,yes,no,"Face scale and source appearance were not preserved"
styleid,edge_partial,ok,complete,poor,fail,observable,yes,no,"Large frontal portrait was pasted into an edge-face region"
styleid,multi_face,incomplete,incomplete,poor,fail,observable,yes,no,"Only one face was aligned and the replacement orientation was implausible"
diffusion_low_step,large_frontal,ok,complete,good,fail,observable,no,no,"Tuning removed the mask seam but changed facial geometry and expression"
diffusion_low_step,profile_occluded,ok,complete,good,fail,observable,no,no,"Output was plausible but did not preserve the original profile geometry"
diffusion_low_step,small_distant,ok,complete,moderate,fail,observable,no,no,"Distant-face appearance changed substantially and remains hard to validate"
diffusion_low_step,edge_partial,ok,complete,good,fail,observable,no,no,"The generated face altered facial geometry"
diffusion_low_step,multi_face,ok,complete,good,pass,weak,no,no,"Both boxes were processed but the visible privacy change was insufficiently clear"
reverse_personalization,large_frontal,ok,complete,good,fail,observable,no,no,"All guidance settings changed expression and facial appearance"
reverse_personalization,profile_occluded,ok,complete,good,fail,observable,no,no,"Output was visually coherent but changed pose-dependent facial appearance"
reverse_personalization,small_distant,ok,complete,moderate,fail,observable,no,no,"Distant face changed strongly without reliable attribute preservation"
reverse_personalization,edge_partial,ok,complete,good,fail,observable,no,no,"Edge face was plausible but facial appearance and geometry changed"
reverse_personalization,multi_face,error,none,not_available,not_available,none,yes,no,"Embedding-stage face detection failed under every tested guidance value"
falco,large_frontal,ok,complete,good,fail,observable,no,no,"Expression changed from speaking to smiling"
falco,profile_occluded,ok,complete,moderate,fail,observable,no,no,"Profile pose and expression changed substantially"
falco,small_distant,ok,complete,moderate,fail,observable,no,no,"Generated facial geometry did not preserve the distant source appearance"
falco,edge_partial,ok,complete,poor,fail,observable,yes,no,"Edge-face result contained implausible facial geometry"
falco,multi_face,ok,complete,poor,fail,observable,yes,no,"Overlapping synthetic faces created a severe compositing artifact"
