index,image_id,local_path,review_pass,visible_face_leakage_risk,visible_text_leakage_risk,visible_screen_leakage_risk,scene_understandability,activity_understandability,visual_disruption,obvious_anonymisation_artifact_risk,selector_recommendation,review_provenance,ground_truth_boundary,pass_2_notes
1,day1/members/allie/15_0479.webp,data/castle2024/raw/day1/members/allie/15_0479.webp,pass_2_strict,high,none,none,medium,high,moderate_source_blur_or_occlusion,low_method_failure_risk,standard_multiface_blur_or_layered,Structured visual inspection pass 2 on contact sheets,"Supplementary structured visual label; not independent participant annotation",strict pass; ambiguous privacy risk is counted conservatively
2,day1/members/allie/20_0005.webp,data/castle2024/raw/day1/members/allie/20_0005.webp,pass_2_strict,none,none,none,high,medium,low,high_method_failure_risk,skip_face_anonymiser_or_multimodal_only,Structured visual inspection pass 2 on contact sheets,"Supplementary structured visual label; not independent participant annotation",strict pass; ambiguous privacy risk is counted conservatively
3,day1/members/bjorn/09_0277.webp,data/castle2024/raw/day1/members/bjorn/09_0277.webp,pass_2_strict,high,none,none,high,high,low,low_method_failure_risk,standard_multiface_blur_or_layered,Structured visual inspection pass 2 on contact sheets,"Supplementary structured visual label; not independent participant annotation",strict pass; ambiguous privacy risk is counted conservatively
4,day1/members/bjorn/10_0469.webp,data/castle2024/raw/day1/members/bjorn/10_0469.webp,pass_2_strict,high,none,none,high,high,low,medium_method_failure_risk,prefer_blur_or_layered_over_generative,Structured visual inspection pass 2 on contact sheets,"Supplementary structured visual label; not independent participant annotation",strict pass; ambiguous privacy risk is counted conservatively
5,day1/members/bjorn/10_0697.webp,data/castle2024/raw/day1/members/bjorn/10_0697.webp,pass_2_strict,high,none,none,medium,high,moderate_source_blur_or_occlusion,medium_method_failure_risk,prefer_blur_or_layered_over_generative,Structured visual inspection pass 2 on contact sheets,"Supplementary structured visual label; not independent participant annotation",strict pass; ambiguous privacy risk is counted conservatively
6,day1/members/bjorn/13_0690.webp,data/castle2024/raw/day1/members/bjorn/13_0690.webp,pass_2_strict,none,none,none,high,medium,low,high_method_failure_risk,skip_face_anonymiser_or_multimodal_only,Structured visual inspection pass 2 on contact sheets,"Supplementary structured visual label; not independent participant annotation",strict pass; ambiguous privacy risk is counted conservatively
7,day1/members/bjorn/14_0337.webp,data/castle2024/raw/day1/members/bjorn/14_0337.webp,pass_2_strict,high,none,none,high,high,moderate_source_blur_or_occlusion,high_method_failure_risk,standard_multiface_blur_or_layered,Structured visual inspection pass 2 on contact sheets,"Supplementary structured visual label; not independent participant annotation",strict pass; ambiguous privacy risk is counted conservatively
8,day1/members/bjorn/15_0160.webp,data/castle2024/raw/day1/members/bjorn/15_0160.webp,pass_2_strict,high,none,none,medium,high,moderate_source_blur_or_occlusion,medium_method_failure_risk,prefer_blur_or_layered_over_generative,Structured visual inspection pass 2 on contact sheets,"Supplementary structured visual label; not independent participant annotation",strict pass; ambiguous privacy risk is counted conservatively
9,day1/members/bjorn/15_0361.webp,data/castle2024/raw/day1/members/bjorn/15_0361.webp,pass_2_strict,high,none,none,medium,high,moderate_source_blur_or_occlusion,high_method_failure_risk,prefer_blur_or_layered_over_generative,Structured visual inspection pass 2 on contact sheets,"Supplementary structured visual label; not independent participant annotation",strict pass; ambiguous privacy risk is counted conservatively
10,day1/members/bjorn/17_0553.webp,data/castle2024/raw/day1/members/bjorn/17_0553.webp,pass_2_strict,possible,none,none,low,low,high_source_blur,high_method_failure_risk,avoid_generative_methods,Structured visual inspection pass 2 on contact sheets,"Supplementary structured visual label; not independent participant annotation",strict pass; ambiguous privacy risk is counted conservatively
11,day1/members/cathal/09_0230.webp,data/castle2024/raw/day1/members/cathal/09_0230.webp,pass_2_strict,high,none,none,high,high,low,low_method_failure_risk,standard_multiface_blur_or_layered,Structured visual inspection pass 2 on contact sheets,"Supplementary structured visual label; not independent participant annotation",strict pass; ambiguous privacy risk is counted conservatively
12,day1/members/cathal/10_0677.webp,data/castle2024/raw/day1/members/cathal/10_0677.webp,pass_2_strict,high,none,none,high,high,low,low_method_failure_risk,standard_multiface_blur_or_layered,Structured visual inspection pass 2 on contact sheets,"Supplementary structured visual label; not independent participant annotation",strict pass; ambiguous privacy risk is counted conservatively
13,day1/members/cathal/14_0428.webp,data/castle2024/raw/day1/members/cathal/14_0428.webp,pass_2_strict,possible,none,none,low,low,high_source_blur,high_method_failure_risk,avoid_generative_methods,Structured visual inspection pass 2 on contact sheets,"Supplementary structured visual label; not independent participant annotation",strict pass; ambiguous privacy risk is counted conservatively
14,day1/members/florian/08_0373.webp,data/castle2024/raw/day1/members/florian/08_0373.webp,pass_2_strict,possible,none,none,high,high,low,medium_method_failure_risk,prefer_blur_or_layered_over_generative,Structured visual inspection pass 2 on contact sheets,"Supplementary structured visual label; not independent participant annotation",strict pass; ambiguous privacy risk is counted conservatively
15,day1/members/florian/08_0674.webp,data/castle2024/raw/day1/members/florian/08_0674.webp,pass_2_strict,high,none,none,high,high,low,low_method_failure_risk,eligible_for_quality_sensitive_face_anonymisation,Structured visual inspection pass 2 on contact sheets,"Supplementary structured visual label; not independent participant annotation",strict pass; ambiguous privacy risk is counted conservatively
16,day1/members/klaus/08_0262.webp,data/castle2024/raw/day1/members/klaus/08_0262.webp,pass_2_strict,none,high,none,high,high,low,high_method_failure_risk,skip_face_anonymiser_or_multimodal_only;force_text_screen_redaction,Structured visual inspection pass 2 on contact sheets,"Supplementary structured visual label; not independent participant annotation",strict pass; ambiguous privacy risk is counted conservatively
17,day1/members/luca/08_0407.webp,data/castle2024/raw/day1/members/luca/08_0407.webp,pass_2_strict,possible,none,none,high,high,moderate_source_blur_or_occlusion,high_method_failure_risk,standard_multiface_blur_or_layered,Structured visual inspection pass 2 on contact sheets,"Supplementary structured visual label; not independent participant annotation",strict pass; ambiguous privacy risk is counted conservatively
