claim_or_area,canonical_artifact,status,note,bound_justification_artefact
RQ1 reviewed ground truth,outputs/01_protocol/annotations/face_detection/02_egocentric_stress_500/manifest.csv,DONE,"All 500 protocol frames were manually reviewed; 1,284 face boxes are retained alongside the status and condition-label files.",
RQ1 detector comparison,outputs/02_face_detection/03_detector_two_protocol_comparison.csv,DONE,YOLO and YOLO+SCRFD fallback are compared on the re-reviewed global 500-frame surface; RetinaFace/subset/ablation outputs are not active current evidence.,
RQ1/RQ4 scene-condition routing,outputs/02_face_detection/04_scene_condition_router/06_final_model_benchmark.csv,DONE,"The 1,000-image condition benchmark retains baseline, hybrid, final telemetry, per-label, prediction, runtime, and selective-fallback evidence.",
RQ2 method comparison,outputs/03_anonymisation/01_all_methods_comparison.csv,DONE,"Canonical all-method privacy, utility, runtime, eligibility, and role comparison.",
RQ2 NullFace,outputs/03_anonymisation/03_nullface/01_nullface_full_500_manifest.csv,DONE_BOUNDED,500 outputs and complete timestamped runtime calculation retained; visual quality and runtime prevent default promotion.,outputs/03_anonymisation/17_author_recipe_visual_audit/; outputs/10_final_enhancement_evaluation/01_visual_safety_gate_effect/05_all_generative_blocked_as_default.csv
RQ2 diffusion,outputs/03_anonymisation/04_diffusion/07_diffusion_full_500_metric_summary.csv,DONE_BOUNDED,500/500 execution with full metrics; visual quality remains bounded.,outputs/03_anonymisation/17_author_recipe_visual_audit/; outputs/10_final_enhancement_evaluation/01_visual_safety_gate_effect/
RQ2 Reverse Personalization,outputs/03_anonymisation/05_reverse_personalization/09_rp_final_metric_summary.csv,DONE_BOUNDED,Retry improved output coverage to 482/500; 18 failures and high runtime remain.,outputs/03_anonymisation/05_reverse_personalization/09_rp_final_metric_summary.csv; outputs/03_anonymisation/17_author_recipe_visual_audit/
RQ2 StyleID and FAMS,outputs/03_anonymisation/17_author_recipe_visual_audit/01_author_recipe_configuration.csv,DONE_BOUNDED,Systematic tuning and author-recipe controls support the quality-limited decision; exact FAMS checkpoint reproduction remains externally constrained.,outputs/03_anonymisation/17_author_recipe_visual_audit/02_five_case_visual_gate.csv; outputs/10_final_enhancement_evaluation/01_visual_safety_gate_effect/05_all_generative_blocked_as_default.csv
RQ3 multimodal processing,outputs/04_multimodal_privacy/01_multimodal_250_evidence/11_rq3_final_summary.md,DONE_BOUNDED,"Canonical 250-frame reviewer-app protocol with 116 text boxes, 139 screen boxes, held-out localization, and predicted-box redaction evidence.",outputs/04_multimodal_privacy/01_multimodal_250_evidence/11_rq3_final_summary.md
RQ3 residual leakage,outputs/04_multimodal_privacy/01_multimodal_250_evidence/10_residual_risk_analysis.csv,DONE_BOUNDED,Held-out detector misses and redaction/utility residual flags are retained per frame.,outputs/10_final_enhancement_evaluation/02_adversarial_residual_leakage/02_heldout_adversarial_residual_ledger.csv; 06_per_frame_failure_class_counts.csv
RQ4 OAPR evaluation,outputs/05_oapr/12_oapr_full_metric_summary.csv,DONE_BOUNDED,Seven 500-frame objective modes with actual routed-output metrics; no global dominance claim.,outputs/05_oapr/decision_framework/; outputs/10_final_enhancement_evaluation/06_frozen_scientific_oapr_route_replay/metadata/summary.json
RQ4 policy hardening,outputs/03_anonymisation/11_policy_hardening/06_final_policy_summary.csv,DONE,"Three-attacker privacy, face-region utility, grouped held-out routing, cascade simulation, and paired bootstrap evidence on 500 reviewed images.",
RQ2 advanced-method feasibility,outputs/03_anonymisation/11_policy_hardening/09_advanced_method_feasibility.csv,DONE_BOUNDED,FALCO and RiDDLE passed the feasibility gate; their later full comparable executions supersede this preliminary status.,outputs/03_anonymisation/11_policy_hardening/09_advanced_method_feasibility.csv
RQ2 RiDDLE comparable execution,outputs/03_anonymisation/12_riddle/07_riddle_metric_summary.csv,DONE_BOUNDED,500/500 quantitative comparison retained; 14/100 visual artifacts and targeted pose/gaze failure prevent default routing.,outputs/03_anonymisation/14_group2_comparison/08_group2_visual_review.csv; 12_manual_author_partner_review.md
RQ2 FALCO comparable execution,outputs/03_anonymisation/13_falco/07_falco_metric_summary.csv,DONE_BOUNDED,"500/500 frames using the official 60,000-reference pairing and 50-step optimization protocol; runtime and visual quality remain limiting.",outputs/03_anonymisation/14_group2_comparison/08_group2_visual_review.csv; 12_manual_author_partner_review.md
RQ4 Group 2 held-out policy,outputs/03_anonymisation/14_group2_comparison/03_all_method_and_policy_summary.csv,DONE,"Three-attacker, face-region, participant-held-out policy comparison including RiDDLE and FALCO.",
RQ4 RiDDLE-heavy policy ablation,outputs/03_anonymisation/15_materialised_adaptive_policy/13_final_policy_metric_summary.csv,DONE_HISTORICAL_ABLATION,Measured 500-output policy ablation retained; superseded as runtime default after the uniform visual-quality gate.,
RQ2/RQ4 uniform visual-quality hardening,outputs/03_anonymisation/16_visual_quality_hardening/08_visual_quality_hardening_summary.md,DONE,Uniform method review and targeted RiDDLE/FAMS tuning establish deployment eligibility independently of privacy and perceptual metrics.,
RQ2 advanced-method author-recipe audit,outputs/03_anonymisation/17_author_recipe_visual_audit/03_author_recipe_audit_summary.md,DONE_BOUNDED,Seven generative branches were checked on five hard conditions; none passed the complete strict default-routing gate.,outputs/03_anonymisation/17_author_recipe_visual_audit/03_author_recipe_audit_summary.md
RQ4 final visual-safe adaptive policy,outputs/03_anonymisation/16_visual_quality_hardening/04_final_visual_safe_policy.csv,DONE,"500/500 successful routes, zero generative routes, and zero failures using reviewed no-face copy-through plus deterministic anonymisation.",
RQ1 final detector policy,outputs/02_face_detection/14_final_detector_policy/02_detector_policy_decision.md,DONE,Error-hardened RF variant adopted as primary for balanced OAPR objective (score 0.917165); previous reranker retained as recall-first option.,
RQ3 multimodal improvement analysis,outputs/04_multimodal_privacy/01_multimodal_250_evidence/12_metric_improvement_analysis.md,DONE_BOUNDED,Held-out residual diagnosis and ordered experiment plan for multimodal metric gains on the locked 250 protocol.,outputs/04_multimodal_privacy/01_multimodal_250_evidence/12_metric_improvement_analysis.md
RQ3 operator improvement ablation (negative result),outputs/04_multimodal_privacy/01_multimodal_250_evidence/13_operator_improvement_results.md,DONE_BOUNDED,Area-aware screen + text privacy ablations did not beat fill-based adaptive policy under declared score; kept as negative evidence.,outputs/04_multimodal_privacy/01_multimodal_250_evidence/13_operator_improvement_results.md
RQ3 detection fix campaign (promoted text-cluster screen hyp),outputs/04_multimodal_privacy/01_multimodal_250_evidence/14_detection_fix_campaign/02_campaign_report.md,DONE,screen-completion hypothesis promoted: screen presence FN 5→1 (later residual closed FN to 0).,
RQ3 residual hard-miss campaign (promoted strict edge-phone),outputs/04_multimodal_privacy/01_multimodal_250_evidence/16_residual_hard_miss_campaign/02_campaign_report.md,DONE,"strict landscape bottom-phone residual after text-cluster empty: screen FN 1→0, adaptive privacy 0.8680, score 0.8320; loose edge rejected for FPs.",
OAPR decision framework (in-body progressive evaluation),outputs/05_oapr/decision_framework/00_framework/01_decision_framework_spec.md,DONE_BOUNDED,"In-body under outputs/05_oapr: gates, atomic metrics, stage scores, sensitivity, Pareto. Progressive evaluation; exploratory composites retained for comparison tables; gates govern deployable defaults.",outputs/05_oapr/decision_framework/; 01_visual_safety_gate_effect/
exploratory vs deployment selection decision table,outputs/05_oapr/decision_framework/08_comparison_to_exploratory/02_exploratory_vs_deployment_decision.md,DONE,Stage-wise exploratory takeaway vs deployable selection and rationale.,
OAPR decision-framework validation pass,outputs/05_oapr/decision_framework/09_run_logs/02_validation_pass.md,DONE,Validation of tables/gates; full-protocol non-sensitive utility expansion (3444 frames); stage mirrors under 02/15 03/18 04/15.,
RQ3 residual boundary ledger (hard-miss residual boundary),,DONE,Classifies held-out residual flags after R8; residual classes closed for default-stack promotion.,
Final evaluation: visual gate effect,outputs/10_final_enhancement_evaluation/01_visual_safety_gate_effect/04_visual_gate_effect_summary.md,DONE,Strong-numeric generative methods blocked as defaults; research-only status supported.,
Final evaluation: adversarial residual leakage,outputs/10_final_enhancement_evaluation/02_adversarial_residual_leakage/05_residual_leakage_summary.md,DONE,"Face Re-ID, OCR, screen residual, VLM-proxy privacy questions on held-out adaptive.",
Final evaluation: decision framework final policy,outputs/10_final_enhancement_evaluation/03_decision_framework_final_policy/09_final_policy_summary.md,DONE,Gated progressive evaluation formalised as final policy-selection layer.,
Final evaluation: adaptive ablations,outputs/10_final_enhancement_evaluation/04_adaptive_component_ablation/03_ablation_summary.md,DONE,Gates/visual filter/residual stack contributions measured vs exploratory-only.,
Top-level reproducibility guide,README.md,DONE,Root README is the project reproduction guide. App setup is documented in app/README.md.,app/README.md;
Core detector weight SHA-256 pins,outputs/09_traceability/07_core_weight_sha256.csv,DONE,"Author-machine SHA-256 for screen YOLO, YOLO face, RF-DETR, SCRFD buffalo_l det_10g.",
Public smoke protocol (no CASTLE),outputs/01_protocol/smoke_protocol_public/smoke_manifest_24.csv,DONE,24 synthetic frames + manifest boxes; scripts/smoke/run_public_smoke_protocol.py runs without detector weights.,
App readiness status JSON,outputs/07_app_validation/04_app_readiness_status.json,DONE,"Machine-readable App policy semantics, compute tier, detector runtime, asset presence.",
Visual gate: full generative blocked-as-default table,outputs/10_final_enhancement_evaluation/01_visual_safety_gate_effect/05_all_generative_blocked_as_default.csv,DONE,All generative methods blocked as defaults with failure-mode summaries and five-case pass rates.,outputs/10_final_enhancement_evaluation/01_visual_safety_gate_effect/06_failure_mode_counts.csv
Residual leakage failure-class counts,outputs/10_final_enhancement_evaluation/02_adversarial_residual_leakage/06_per_frame_failure_class_counts.csv,DONE_BOUNDED,"Per-frame residual class rates on held-out adaptive multimodal surface (utility collapse, OCR residual, etc.).",outputs/10_final_enhancement_evaluation/02_adversarial_residual_leakage/02_heldout_adversarial_residual_ledger.csv
Runtime three-source detector boundary,outputs/02_face_detection/16_runtime_source_validation/02_runtime_vs_scientific_summary.json,DONE,A separately trained three-source candidate was scored; the exact App RF approximation has no assigned score and remains distinct from the seven-source 0.917165 scientific result.,
Frozen scientific OAPR route replay 286/81/133,outputs/10_final_enhancement_evaluation/06_frozen_scientific_oapr_route_replay/metadata/summary.json,DONE,Frozen scientific decisions → detector-derived application boxes → App anonymisation; route counts 286/81/133 and applied counts 285/72/143 are both retained.,
App validation objective_profile regeneration,outputs/07_app_validation/02_app_runtime_summary.csv,DONE,100-frame runs under objective_profile balanced/privacy/utility + deterministic baselines.,
Expanded structured visual review provenance,outputs/03_anonymisation/14_group2_comparison/13_expanded_structured_visual_review.csv,DONE,"Manual author/partner, inherited, and heuristic rows are classified explicitly; no mixed-source agreement statistic is claimed.",14_expanded_review_provenance_rollup.csv
Multimodal localisation and utility improvement,outputs/04_multimodal_privacy/01_multimodal_250_evidence/18_localisation_utility_improvement/06_improvement_summary.json,DONE,Text filter precision lift; per-image soft utility reduces util<0.50 37→27.,
Canonical scoring definitions,configs/scoring_definitions.json,DONE,Single formulas for detector/anonymisation/multimodal stages.,
Canonical method eligibility,outputs/03_anonymisation/20_canonical_method_eligibility/01_canonical_method_eligibility.csv,DONE,Single eligibility artefact for routing + App catalog.,
Simplified default multimodal policy,outputs/04_multimodal_privacy/01_multimodal_250_evidence/19_simplified_default_multimodal_policy.csv,DONE,Privacy-weighted default operators; area-aware demoted.,
Frozen-route execution boundary note,outputs/06_end_to_end_thesis_validation/10_hardened_rf_live_propagation.md,DONE,Separates frozen scientific route counts from detector-derived application boxes and actual applied operators.,
App reproduction guide,app/README.md,DONE,App demonstrator installation and handover guide; CASTLE is not required for the public path.,
