method,family,review_scope,sample_size,visually_plausible_count,obvious_artifact_count,severe_failure_count,visually_plausible_rate,obvious_artifact_rate,visual_boundary,final_policy_eligibility,source_artifact
blur,deterministic,full 500 outputs plus transformation QA,500,,,,,,Predictable redaction without synthetic face insertion; utility loss depends on strength.,ELIGIBLE,outputs/03_anonymisation/02_deterministic_baselines/01_output_manifest.csv
pixelate,deterministic,full 500 outputs plus transformation QA,500,,,,,,Predictable redaction without synthetic face insertion; utility loss depends on strength.,ELIGIBLE,outputs/03_anonymisation/02_deterministic_baselines/01_output_manifest.csv
solid_mask_black,deterministic,full 500 outputs plus transformation QA,500,,,,,,Predictable redaction without synthetic face insertion; utility loss depends on strength.,ELIGIBLE,outputs/03_anonymisation/02_deterministic_baselines/01_output_manifest.csv
layered_blur_downscale_noise,deterministic,full 500 outputs plus transformation QA,500,,,,,,Predictable redaction without synthetic face insertion; utility loss depends on strength.,ELIGIBLE,outputs/03_anonymisation/02_deterministic_baselines/01_output_manifest.csv
nullface,diffusion,500 output change audit and contact sheets,500,,,,,,Pixel-change evidence does not establish semantic naturalness; malformed facial geometry remains visible in reviewed sheets.,RESEARCH_ONLY_NOT_DEFAULT,outputs/03_anonymisation/03_nullface/quality_review/01_nullface_quality_metrics.csv
diffusion_low_step,diffusion,two-pass adjudicated review,100,5,70,39,0.05,0.7,Only 5/100 were bounded visual examples; 39/100 were severe failures and 31/100 remained uncertain.,RESEARCH_ONLY_NOT_DEFAULT,outputs/03_anonymisation/04_diffusion/quality_review/04_diffusion_quality_adjudicated.csv
reverse_personalization,diffusion personalization,482 successful comparable outputs; no uniform semantic review count,,,,,,,"High runtime, 18 failures, and unquantified apparent consistency prevent default routing.",RESEARCH_ONLY_NOT_DEFAULT,outputs/03_anonymisation/05_reverse_personalization/09_rp_final_metric_summary.csv
styleid_stylegan,GAN,systematically tuned pilot and visual promotion gate,5,0,5,5,0.0,1.0,"Face scale, placement, pose transfer, and compositing artifacts persisted.",QUALITY_LIMITED_EXCLUDED,outputs/03_anonymisation/06_styleid_fams/02_pilot_manifest.csv
fams,reference-conditioned diffusion,"five archetypes with author 512/25 multi-face recipe plus 512/200 author-sample control",5,0,5,5,0.0,1.0,Severe coloured corruption persisted across the degree sweep and on the author sample with the obtainable SD2.1 mirror; the original model identifier was inaccessible.,QUALITY_LIMITED_EXCLUDED,outputs/03_anonymisation/17_author_recipe_visual_audit/01_author_recipe_configuration.csv
riddle,invertible identity encryption,deterministic 100-crop review,100,86,14,14,0.86,0.14,14/100 obvious artifacts; targeted alignment improved placement but a generation-eligible face still changed pose/gaze unnaturally.,RESEARCH_COMPARABLE_NOT_DEFAULT,outputs/03_anonymisation/14_group2_comparison/08_group2_visual_review.csv
falco,FaRL-guided latent optimisation,deterministic 100-crop review,100,78,22,22,0.78,0.22,"22/100 obvious expression, eye, geometry, insertion, or compositing artifacts; runtime is also high.",RESEARCH_COMPARABLE_NOT_DEFAULT,outputs/03_anonymisation/14_group2_comparison/08_group2_visual_review.csv
